Demo/A Bit More/tp3.extra	A Bit More	Trackerpacker 3	Linus Akesson	/Demo/Akesson_Linus/A_Bit_More.lha/tp3.extra
Demo/In The Kitchen/pha.anarchy_itk_hiddenpart1	In The Kitchen	Pha Packer	Jochen Feldkötter (first hidden part tune)	/Demo/Feldkoetter_Jochen/In_the_Kitchen.lha/pha.anarchy_itk_hiddenpart1
Demo/Interference/prun.snt_interference_endpart	Interference	Prorunner 2.0	Jochen Feldkötter	/Demo/Feldkoetter_Jochen/Interference.lha/prun.snt_interference_endpart
Demo/Interference/prun.snt_interference_main	Interference	Prorunner 2.0	Jochen Feldkötter	/Demo/Feldkoetter_Jochen/Interference.lha/prun.snt_interference_main
Demo/Misery Dentro 2/mod.breath control	Misery Dentro 2	Protracker	Jochen Feldkötter	/Demo/Feldkoetter_Jochen/Misery_Dentro_2.lha/mod.breath control
Demo/Aerial/mod.module2	Aerial	Protracker	Victorien Ferry	/Demo/Ferry_Victorien/Aerial.lha/mod.module2
Demo/Cream/prun.abs_cream	Cream	Prorunner 2.0	Richard Frick	/Demo/Frick_Richard/Cream.lha/prun.abs_cream
Demo/The Final Condom/mod.abs! roll'em up!!!	The Final Condom	Protracker	Richard Frick (main tune)	/Demo/Frick_Richard/The_Final_Condom.lha/mod.abs! roll'em up!!!
Demo/The Final Condom/mod.colourline	The Final Condom	Protracker	Abstract (endpart)	/Demo/Frick_Richard/The_Final_Condom.lha/mod.colourline
Demo/Party Time/hmc.crb_partytime	Party Time	Heatseeker mc1.0	Tor Bernhard Gausen	/Demo/Gausen_Tor/Party_Time.lha/hmc.crb_partytime
Demo/Party Time/mod.satan	Party Time	Heatseeker mc1.0	Tor Bernhard Gausen	/Demo/Gausen_Tor/Party_Time.lha/mod.satan
Demo/The Dancing Bolls/mod.piano plinker	The Dancing Bolls	Protracker	Tor Bernhard Gausen	/Demo/Gausen_Tor/The_Dancing_Bolls.lha/mod.piano plinker
Demo/Virtual World/mod.(((((apocalypse))))	Virtual World	Protracker	Raphael Gesqua	/Demo/Gesqua_Raphael/Virtual_World.lha/mod.(((((apocalypse))))
Demo/Virtual World/mod.hysteria	Virtual World	Protracker	Raphael Gesqua	/Demo/Gesqua_Raphael/Virtual_World.lha/mod.hysteria
Demo/Rerun!/p6x.cydonia_rerun	Rerun!	The Player 6.x	Jonathan Mac Gibbon	/Demo/Gibbon_Jonathan/Rerun!.lha/p6x.cydonia_rerun
Demo/Welcome To Our World/p6x.darkage_welcome_endpart	Welcome To Our World	The Player 6.x	Peter Gordon & Flemming Søndergård	/Demo/Gordon_Peter/Welcome_To_Our_World.lha/p6x.darkage_welcome_endpart
Demo/Welcome To Our World/p6x.darkage_welcome_main	Welcome To Our World	The Player 6.x	Peter Gordon & Flemming Søndergård	/Demo/Gordon_Peter/Welcome_To_Our_World.lha/p6x.darkage_welcome_main
Demo/Jesus On E's/mod.e's on jesus end	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.e's on jesus end
Demo/Jesus On E's/mod.joes_00	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_00
Demo/Jesus On E's/mod.joes_01	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_01
Demo/Jesus On E's/mod.joes_02	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_02
Demo/Jesus On E's/mod.joes_03	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_03
Demo/Jesus On E's/mod.joes_04	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_04
Demo/Jesus On E's/mod.joes_05	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_05
Demo/Jesus On E's/mod.joes_06	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_06
Demo/Jesus On E's/mod.joes_07	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_07
Demo/Jesus On E's/mod.joes_08	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_08
Demo/Jesus On E's/mod.joes_09	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_09
Demo/Jesus On E's/mod.joes_10	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_10
Demo/Jesus On E's/mod.joes_11	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_11
Demo/Jesus On E's/mod.joes_12	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_12
Demo/Jesus On E's/mod.joes_13	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/mod.joes_13
Demo/Jesus On E's/mod.endmodule	Jesus On E's	Protracker	Graham Gray	/Demo/Gray_Graham/Jesus_On_Es.lha/Unused/mod.endmodule
Demo/Switchback/p6x.rebels_switchback_endpart	Switchback	The Player 6.x	Timm Albers (endpart)	/Demo/Greve_Andre/Switchback.lha/p6x.rebels_switchback_endpart
Demo/Switchback/p6x.rebels_switchback_main	Switchback	The Player 6.x	Andre Greve	/Demo/Greve_Andre/Switchback.lha/p6x.rebels_switchback_main
Demo/Switchback/p6x.rebels_switchback_voodoo	Switchback	The Player 6.x	Andre Greve	/Demo/Greve_Andre/Switchback.lha/p6x.rebels_switchback_voodoo
Demo/D.A.N.E./unic.laid and flushed	D.A.N.E.	Laxity Tracker	Anders Hansen (main music)	/Demo/Hansen_Anders/D_A_N_E.lha/unic.laid and flushed
Demo/Desert Dream/mod.topglad	Desert Dream	Protracker	Unknown (second hidden part tune)	/Demo/Hansen_Anders/Desert_Dream.lha/mod.topglad
Demo/Desert Dream/unic."desert dream" intrd	Desert Dream	Laxity Tracker	Anders Hansen	/Demo/Hansen_Anders/Desert_Dream.lha/unic."desert dream" intrd
Demo/Desert Dream/unic.checknobankh	Desert Dream	Laxity Tracker	Anders Hansen	/Demo/Hansen_Anders/Desert_Dream.lha/unic.checknobankh
Demo/Desert Dream/unic.part2	Desert Dream	Laxity Tracker	Anders Hansen	/Demo/Hansen_Anders/Desert_Dream.lha/unic.part2
Demo/Emptyhead/pha.disco_funk_anderled	Emptyhead	Pha Packer	Frederik Hansen	/Demo/Hansen_Frederik/Emptyhead.lha/pha.disco_funk_anderled
Demo/Emptyhead/pha.steviiiieeee	Emptyhead	Pha Packer	Frederik Hansen	/Demo/Hansen_Frederik/Emptyhead.lha/pha.steviiiieeee
Demo/Amazing Tunes II/mod.i dont care	Amazing Tunes II	StarTrekker	Steve Hasler	/Demo/Hasler_Steve/Amazing_Tunes_2.lha/mod.i dont care
Demo/Amazing Music Disk 1/mod.c	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.c
Demo/Amazing Music Disk 1/mod.dreamland	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.dreamland
Demo/Amazing Music Disk 1/mod.fasterone	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.fasterone
Demo/Amazing Music Disk 1/mod.heavy house	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.heavy house
Demo/Amazing Music Disk 1/mod.hi en	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.hi en
Demo/Amazing Music Disk 1/mod.hot blood plus	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.hot blood plus
Demo/Amazing Music Disk 1/mod.killing time	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.killing time
Demo/Amazing Music Disk 1/mod.my life	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.my life
Demo/Amazing Music Disk 1/mod.nice day	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.nice day
Demo/Amazing Music Disk 1/mod.technopop	Amazing Music Disk 1	Soundtracker	Steve Hogg	/Demo/Hogg_Steve/Amazing_Music_Disk_1.lha/mod.technopop
Demo/Brain-State-In-A-Box/mod.couldbe	Brain-State-In-A-Box	Protracker	Oddgeir Hvidsten	/Demo/Hvidsten_Oddgeir/Brain-State-In-A-Box.lha/mod.couldbe
Demo/Not Again/mod.naked chicks	Not Again	ProTracker	Thomas Jaenicke	/Demo/Jaenicke_Thomas/Not_Again.lha/mod.naked chicks
Demo/Illusion/pru2.vd_illusion	Illusion	Prorunner 2.0	Sami Jarvinen	/Demo/Jarvinen_Sami/Illusion.lha/pru2.vd_illusion
Demo/Scoopex Plays 2 Unlimited/mod.getready	Scoopex Plays 2 Unlimited	Protracker	Svein Johansen (cover versions)	/Demo/Johansen_Svein/Scoopex_Plays_2_Unlimited.lha/mod.getready
Demo/Scoopex Plays 2 Unlimited/mod.twilightzone	Scoopex Plays 2 Unlimited	Protracker	Svein Johansen (cover versions)	/Demo/Johansen_Svein/Scoopex_Plays_2_Unlimited.lha/mod.twilightzone
Demo/Scoopex Plays 2 Unlimited/mod.workaholikk	Scoopex Plays 2 Unlimited	Protracker	Svein Johansen (cover versions)	/Demo/Johansen_Svein/Scoopex_Plays_2_Unlimited.lha/mod.workaholikk
Demo/Friday at Eight/mod.goy stole final re3	Friday at Eight	Protracker	Henrik Juhl (main tune)	/Demo/Juhl_Henrik/Friday_at_Eight.lha/mod.goy stole final re3
Demo/Gevalia/mod.stave 2 kontrol.awk	Gevalia	Protracker	Henrik Juhl	/Demo/Juhl_Henrik/Gevalia.lha/mod.stave 2 kontrol.awk
Demo/No!/tp3.spritzstunden.5	No!	Trackerpacker 3	Henrik Juhl (main tune)	/Demo/Juhl_Henrik/No!.lha/tp3.spritzstunden.5
Demo/Lapsuus/cust.Lapsuus	Lapsuus	Custom	Markus Kaarlonen	/Demo/Kaarlonen_Markus/Lapsuus.lha/cust.Lapsuus
Demo/Lapsuus/cust.Lapsuus_alt	Lapsuus	Custom	Markus Kaarlonen	/Demo/Kaarlonen_Markus/Lapsuus.lha/cust.Lapsuus_alt
Demo/Nexus 7/p6x.andromeda_nexus7	Nexus 7	The Player 6.x	Jan Karlsen	/Demo/Karlsen_Jan/Nexus_7.lha/p6x.andromeda_nexus7
Demo/Fastest Demo/mod.amiga-fastest-compo	Fastest Demo	StarTrekker	Robert Korzeniewski	/Demo/Korzeniewski_Robert/Fastest_Demo.lha/mod.amiga-fastest-compo
Demo/Kefrens Mega-Demo VIII/ksm.black-dragon	Kefrens Mega-Demo VIII	Kefrens Sound Machine	Michael Nielsen	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/ksm.black-dragon
Demo/Kefrens Mega-Demo VIII/mod.dirt	Kefrens Mega-Demo VIII	Noisetracker	Stefan Jaworski	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.dirt
Demo/Kefrens Mega-Demo VIII/mod.dots	Kefrens Mega-Demo VIII	Noisetracker	Dots	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.dots
Demo/Kefrens Mega-Demo VIII/mod.Fletch	Kefrens Mega-Demo VIII	Noisetracker	Unknown	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.Fletch
Demo/Kefrens Mega-Demo VIII/mod.funky power	Kefrens Mega-Demo VIII	Noisetracker	Jesper Kyd	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.funky power
Demo/Kefrens Mega-Demo VIII/mod.kefrens.tune.1	Kefrens Mega-Demo VIII	Protracker	Unknown	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.kefrens.tune.1
Demo/Kefrens Mega-Demo VIII/mod.kefrens.tune.2	Kefrens Mega-Demo VIII	Protracker	Martin de Agger	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.kefrens.tune.2
Demo/Kefrens Mega-Demo VIII/mod.lifestyle.rules.1	Kefrens Mega-Demo VIII	Protracker	Martin de Agger	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.lifestyle.rules.1
Demo/Kefrens Mega-Demo VIII/mod.masqrade	Kefrens Mega-Demo VIII	Protracker	Blazer	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.masqrade
Demo/Kefrens Mega-Demo VIII/mod.message...v1.2	Kefrens Mega-Demo VIII	Noisetracker	Jesper Kyd	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.message...v1.2
Demo/Kefrens Mega-Demo VIII/mod.nightfall	Kefrens Mega-Demo VIII	Protracker	Stefan Jaworski	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.nightfall
Demo/Kefrens Mega-Demo VIII/mod.zycho says osu  feb	Kefrens Mega-Demo VIII	Soundtracker	Bo Østergaard	/Demo/Kyd_Jesper/Kefrens_Mega-Demo_8.lha/mod.zycho says osu  feb
Demo/Xpose/mod.funky loadertune2	Xpose	Protracker	Jesper Kyd	/Demo/Kyd_Jesper/Xpose.lha/mod.funky loadertune2
Demo/Xpose/mod.ministry	Xpose	Noisetracker	Jesper Kyd	/Demo/Kyd_Jesper/Xpose.lha/mod.ministry
Demo/Egregious/unic.take-no-fab by s.l.l	Egregious	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Egregious.lha/unic.take-no-fab by s.l.l
Demo/Guardian Dragon/mod.guardian dragon	Guardian Dragon	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Guardian_Dragon.lha/mod.guardian dragon
Demo/Guardian Dragon/mod.sad-song	Guardian Dragon	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Guardian_Dragon.lha/mod.sad-song
Demo/Guardian Dragon II/unic.dragon jive	Guardian Dragon II	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Guardian_Dragon_2.lha/unic.dragon jive
Demo/Guardian Dragon II/unic.power guardian	Guardian Dragon II	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Guardian_Dragon_2.lha/unic.power guardian
Demo/Multi Megamix/unic.housemix-1	Multi Megamix	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix.lha/unic.housemix-1
Demo/Multi Megamix/unic.housemix-2	Multi Megamix	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix.lha/unic.housemix-2
Demo/Multi Megamix/unic.housemix-3	Multi Megamix	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix.lha/unic.housemix-3
Demo/Multi Megamix/unic.housemix-4	Multi Megamix	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix.lha/unic.housemix-4
Demo/Multi Megamix/unic.housemix-5	Multi Megamix	Unic Tracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix.lha/unic.housemix-5
Demo/Multi Megamix II/mod.megamix1	Multi Megamix II	Protracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix_2.lha/mod.megamix1
Demo/Multi Megamix II/mod.megamix2	Multi Megamix II	Protracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix_2.lha/mod.megamix2
Demo/Multi Megamix II/mod.megamix3	Multi Megamix II	Protracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix_2.lha/mod.megamix3
Demo/Multi Megamix II/mod.megamix4	Multi Megamix II	Protracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix_2.lha/mod.megamix4
Demo/Multi Megamix II/mod.megamix5	Multi Megamix II	Protracker	Sten Lysholm Larsen	/Demo/Larsen_Sten/Multi_Megamix_2.lha/mod.megamix5
Demo/Dragons Megademo I/bp.GHOSTS	Dragons Megademo I	SoundMon 2.0	Sebastiaan Lentfert (Loader & Part 5)	/Demo/Lentfert_Sebastiaan/Dragons_Megademo_1.lha/bp.GHOSTS
Demo/Dragons Megademo I/bp.ZZZAX SPACESHIP505	Dragons Megademo I	SoundMon 2.0	Sebastiaan Lentfert (Loader & Part 5)	/Demo/Lentfert_Sebastiaan/Dragons_Megademo_1.lha/bp.ZZZAX SPACESHIP505
Demo/The Great Balls of Leonid/mod.muzac	The Great Balls of Leonid	Soundtracker	Leonid	/Demo/Leonid/The_Great_Balls_of_Leonid.lha/mod.muzac
Demo/Full Moon/p5x.vd_fullmoon_endpart	Full Moon	The Player 5.x	Jogeir Liljedahl (endpart)	/Demo/Liljedahl_Jogeir/Full_Moon.lha/p5x.vd_fullmoon_endpart
Demo/Love/p5x.vd_love_endpart	Love	The Player 5.x	Jogeir Liljedahl	/Demo/Liljedahl_Jogeir/Love.lha/p5x.vd_love_endpart
Demo/Love/p5x.vd_love_main	Love	The Player 5.x	Jogeir Liljedahl	/Demo/Liljedahl_Jogeir/Love.lha/p5x.vd_love_main
Demo/Arte/mod.elekfunk	Arte	Protracker	Frédéric Motte	/Demo/Motte_Frederic/Arte.lha/mod.elekfunk
Demo/Arte/mod.livin' insanity	Arte	Protracker	Frédéric Motte	/Demo/Motte_Frederic/Arte.lha/mod.livin' insanity
Demo/Arte/mod.mobyle	Arte	Protracker	Frédéric Motte	/Demo/Motte_Frederic/Arte.lha/mod.mobyle
Demo/Dragons Megademo I/mod.altitudes2	Dragons Megademo I	Protracker	Frédéric Motte (Part 3, 4 & End)	/Demo/Motte_Frederic/Dragons_Megademo_1.lha/mod.altitudes2
Demo/Dragons Megademo I/mod.artificial	Dragons Megademo I	Protracker	Frédéric Motte (Part 3, 4 & End)	/Demo/Motte_Frederic/Dragons_Megademo_1.lha/mod.artificial
Demo/Dragons Megademo I/mod.speed rules	Dragons Megademo I	Protracker	Frédéric Motte (Part 3, 4 & End)	/Demo/Motte_Frederic/Dragons_Megademo_1.lha/mod.speed rules
Demo/Rampage/pru2.tek_rampage_endpart	Rampage	Prorunner 2.0	Christof Mühlan	/Demo/Muehlan_Christof/Rampage.lha/pru2.tek_rampage_endpart
Demo/Rampage/pru2.tek_rampage_main	Rampage	Prorunner 2.0	Christof Mühlan	/Demo/Muehlan_Christof/Rampage.lha/pru2.tek_rampage_main
Demo/Vomit Visions/mod.obstacle.glass	Vomit Visions	Protracker	Tim Müller	/Demo/Mueller_Tim/Vomit_Visions.lha/mod.obstacle.glass
Demo/Amazing Tunes II/mod.atmosphere	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.atmosphere
Demo/Amazing Tunes II/mod.lost-in-time	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.lost-in-time
Demo/Amazing Tunes II/mod.make-a-start	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.make-a-start
Demo/Amazing Tunes II/mod.manda.alt	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.manda.alt
Demo/Amazing Tunes II/mod.once-again	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.once-again
Demo/Amazing Tunes II/mod.under-the-thumb	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.under-the-thumb
Demo/Amazing Tunes II/mod.whisk	Amazing Tunes II	StarTrekker	Jolyon Myers	/Demo/Myers_Jolyon/Amazing_Tunes_2.lha/mod.whisk
Demo/Desert Dream/unic.maj-strings.cc	Desert Dream	Laxity Tracker	Klaus Mulvad Nielsen (hidden part tune)	/Demo/Nielsen_Klaus/Desert_Dream.lha/unic.maj-strings.cc
Demo/Friday at Eight/mod.mayflower	Friday at Eight	Protracker	Klaus Mulvad Nielsen (endpart)	/Demo/Nielsen_Klaus/Friday_at_Eight.lha/mod.mayflower
Demo/No!/tp3.nature and a doll	No!	Trackerpacker 3	Klaus Mulvad Nielsen (endpart)	/Demo/Nielsen_Klaus/No!.lha/tp3.nature and a doll
Demo/Zinko/mod.got to be funky	Zinko	Protracker	Klaus Mulvad Nielsen (endpart)	/Demo/Nielsen_Klaus/Zinko.lha/mod.got to be funky
Demo/Mind Riot/np3.aoa_mindriot	Mind Riot	NoisePacker 3.x	Ronny Nordeide	/Demo/Nordeide_Ronny/Mind_Riot.lha/np3.aoa_mindriot
Demo/Galerie Remix/p6x.stellar_galerie_remix	Galerie Remix	The Player 6.x	Miko Nyman & Lassi Nikko	/Demo/Nyman_Miko/Galerie_Remix.lha/p6x.stellar_galerie_remix
Demo/The Spinner/mod.lsdhoi	The Spinner	Protracker	Jori Olkkonen	/Demo/Olkkonen_Jori/The_Spinner.lha/mod.lsdhoi
Demo/Wild Copper demo/8svx.zizic	Wild Copper demo	IFF-8SVX	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/8svx.zizic
Demo/Wild Copper demo/mod.alphaville	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.alphaville
Demo/Wild Copper demo/mod.bodykiss	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.bodykiss
Demo/Wild Copper demo/mod.heavy but cool	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.heavy but cool
Demo/Wild Copper demo/mod.pat strikes back	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.pat strikes back
Demo/Wild Copper demo/mod.reset	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.reset
Demo/Wild Copper demo/mod.starscroll	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.starscroll
Demo/Wild Copper demo/mod.warm start	Wild Copper demo	SoundTracker	Patrick Pose	/Demo/Pose_Patrick/Wild_Copper_demo.lha/mod.warm start
Demo/Technotronic/smus.1	Technotronic	Sonix Music Driver	Radio Poland	/Demo/Radio_Poland/Technotronic.lha/smus.1
Demo/Technotronic/smus.11	Technotronic	Sonix Music Driver	Radio Poland	/Demo/Radio_Poland/Technotronic.lha/smus.11
Demo/Technotronic/smus.gumk14ch	Technotronic	Sonix Music Driver	Radio Poland	/Demo/Radio_Poland/Technotronic.lha/smus.gumk14ch
Demo/Royal Amiga Force Mega-Demo/8svx.coca cola	Royal Amiga Force Mega-Demo	IFF-8SVX	Unknown	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/8svx.coca cola
Demo/Royal Amiga Force Mega-Demo/mod.artelli8	Royal Amiga Force Mega-Demo	Soundtracker	Artelli	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.artelli8
Demo/Royal Amiga Force Mega-Demo/mod.disco'90	Royal Amiga Force Mega-Demo	Protracker	Rainman	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.disco'90
Demo/Royal Amiga Force Mega-Demo/mod.dragon2	Royal Amiga Force Mega-Demo	Protracker	Dragon	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.dragon2
Demo/Royal Amiga Force Mega-Demo/mod.echofunk	Royal Amiga Force Mega-Demo	Protracker	Animunster	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.echofunk
Demo/Royal Amiga Force Mega-Demo/mod.ghostb2.art	Royal Amiga Force Mega-Demo	Protracker	Artelli	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.ghostb2.art
Demo/Royal Amiga Force Mega-Demo/mod.piano tva af1	Royal Amiga Force Mega-Demo	Protracker	Hextronic	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.piano tva af1
Demo/Royal Amiga Force Mega-Demo/mod.song two rainman	Royal Amiga Force Mega-Demo	Protracker	Rainman	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.song two rainman
Demo/Royal Amiga Force Mega-Demo/mod.stereogass	Royal Amiga Force Mega-Demo	Protracker	Rainman	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.stereogass
Demo/Royal Amiga Force Mega-Demo/mod.world v3.0	Royal Amiga Force Mega-Demo	Protracker	Rainman	/Demo/Rainman/Royal_Amiga_Force_Mega-Demo.lha/mod.world v3.0
Demo/Oh Crinkey What A Shit/np2.sanity_oh_crinkey	Oh Crinkey What A Shit	NoisePacker 2.x	Norbert Röcher	/Demo/Roecher_Norbert/Oh_Crinkey_What_A_Shit.lha/np2.sanity_oh_crinkey
Demo/Red Sector Megademo/mod.japanese rock	Red Sector Megademo	Protracker	Norbert Röcher (Part 5, Credits & Guestbook)	/Demo/Roecher_Norbert/Red_Sector_Megademo.lha/mod.japanese rock
Demo/Red Sector Megademo/mod.space2	Red Sector Megademo	Protracker	Norbert Röcher (Part 5, Credits & Guestbook)	/Demo/Roecher_Norbert/Red_Sector_Megademo.lha/mod.space2
Demo/Red Sector Megademo/mod.wasteland	Red Sector Megademo	Protracker	Norbert Röcher (Part 5, Credits & Guestbook)	/Demo/Roecher_Norbert/Red_Sector_Megademo.lha/mod.wasteland
Demo/Turmoil/mod.brass-connection	Turmoil	StarTrekker	Norbert Röcher	/Demo/Roecher_Norbert/Turmoil.lha/mod.brass-connection
Demo/Turmoil/mod.emotional thing	Turmoil	StarTrekker	Norbert Röcher	/Demo/Roecher_Norbert/Turmoil.lha/mod.emotional thing
Demo/Turmoil/mod.it's just sonorous	Turmoil	StarTrekker	Norbert Röcher	/Demo/Roecher_Norbert/Turmoil.lha/mod.it's just sonorous
Demo/Turmoil/mod.mourning	Turmoil	StarTrekker	Norbert Röcher	/Demo/Roecher_Norbert/Turmoil.lha/mod.mourning
Demo/Turmoil/mod.synergy (part i)	Turmoil	StarTrekker	Norbert Röcher	/Demo/Roecher_Norbert/Turmoil.lha/mod.synergy (part i)
Demo/World of Commodore/mod.reach tech-no limit	World of Commodore	StarTrekker	Norbert Röcher (second part)	/Demo/Roecher_Norbert/World_of_Commodore.lha/mod.reach tech-no limit
Demo/Thunderbold/mod.born to be dead	Thunderbold	NoiseTracker	Lars Rückert	/Demo/Rueckert_Lars/Thunderbold.lha/mod.born to be dead
Demo/Kris Kros Sucks/mod.jump.funkyremix	Kris Kros Sucks	Protracker	Marco Schindler	/Demo/Schindler_Marco/Kris_Kros_Sucks.lha/mod.jump.funkyremix
Demo/3D Demo/mod.3d demo tune(mf)	3D Demo	ProTracker	Martin Schiøler	/Demo/Schioler_Martin/3D_Demo.lha/mod.3d demo tune(mf)
Demo/3D Demo/mod.blow ya nose(now!)	3D Demo	ProTracker	Martin Schiøler	/Demo/Schioler_Martin/3D_Demo.lha/mod.blow ya nose(now!)
Demo/3D Demo/mod.fuckfuckfuckfuck	3D Demo	ProTracker	Martin Schiøler	/Demo/Schioler_Martin/3D_Demo.lha/mod.fuckfuckfuckfuck
