"GA_Id","Name","YE_Id","Filename","FileToRun","FilenameIndex","ScrnshotFilename","MU_Id","GE_Id","PU_Id","DI_Id","CR_Id","SidFilename","DateLastPlayed","TimesPlayed","CCode","HighScore","FA","SA","Fav","PR_Id","LA_Id","Extras","Classic","Rating","V_PalNTSC","V_Length","V_Trainers","PlayersFrom","PlayersTo","PlayersSim","Adult","MemoText","Prequel","Sequel","Related","Control","CRC","Filesize","Version","Gemus","V_LengthType","Comment","V_Comment","V_LoadingScreen","V_HighScoreSaver","V_IncludedDocs","V_TrueDriveEmu","AR_Id","DE_Id","LI_Id","RA_Id","WebLink_Name","WebLink_URL","V_WebLink_Name","V_WebLink_URL","V_TitleScreen","V_Playable","V_Original","CloneOf","ReviewRating"
"20337","Therapy","26","t1\THERAPY2_20337_01.zip","","0","T\Therapy_v2.png","39","48","639","8","1676","","","0","4","","0","0","0","7683","2","1","0","0","1","22","0","1","1","0","0","","0","0","7871","2","","0","1","","0","Computer Gamer 1986/05 (Issue #14)","","0","0","0","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20337","","","2","2","2","0","-1"
"20338","Indogana Bones in Raiders of the Last Bark","26","i\INDOGANA_20338_01.zip","","0","I\Indogana_Bones_in_Raiders_of_the_Last_Bark.png","39","2","639","8","1676","","","0","4","","0","0","0","6303","2","1","0","0","1","63","0","1","1","0","0","","0","0","0","0","","0","1","","0","Computer Gamer 1986/10 (Issue #19)","","1","0","0","0","1762","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20338","","","2","2","2","0","-1"
"20339","RAM","26","r1\RAM_20339_01.zip","","0","R\RAM.png","39","1","639","8","1676","","","0","4","","0","0","0","7684","2","1","0","0","3","71","0","1","1","0","0","","0","0","0","0","","0","1","","0","Computer Gamer 1986/11 (Issue #20)","","0","0","0","1","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20339","","","2","2","2","0","-1"
"20340","Ice Hockey","27","i\ICEHOCKE_20340_01.zip","","0","I\Ice_Hockey.png","39","65","639","8","1676","","","0","4","","0","0","0","6303","2","1","0","0","3","34","0","1","1","0","0","","0","0","0","0","","0","1","","0","Computer Gamer 1987/04 (Issue #25)","","0","0","0","0","1762","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20340","","","2","2","2","0","-1"
"20341","Math Maze","23","m1\MATHMAZE_20341_01.zip","","0","M\Math_Maze.png","38","115","1179","8","7","","","0","4","","0","0","0","1","2","1","0","0","3","1","0","1","1","0","0","","0","0","0","0","","0","1","","1","re-released by Britannica Software, Inc.","","1","0","0","0","1","159","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20341","","","2","2","2","0","-1"
"20342","Crystal Mountain","23","","","0","","38","1","2875","8","8","","","0","4","","0","0","0","1","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20342","","","2","2","2","0","-1"
"20343","Dedalus 3D","24","","","0","","38","1","2790","8","8","","","0","4","","0","0","0","1","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","CM64 14/A","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20343","","","2","2","2","0","-1"
"20344","Infer","2","","","0","","38","1","3133","8","8","","","0","4","","0","0","0","1","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20344","","","2","2","2","0","-1"
"20345","Mega Moto","2","","","0","","38","1","3133","8","8","","","0","4","","0","0","0","1","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20345","","","2","2","2","0","-1"
"20346","Phantom Rider","2","","","0","","38","1","3133","8","8","","","0","4","","0","0","0","1","2","1","0","0","1","0","-1","-1","-1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20346","","","2","2","2","0","-1"
"20347","Watch Out!","23","w\WATCHOUT_20347_01.zip","","0","W\Watch_Out.png","39","62","2875","8","7","","","0","4","","0","0","0","1","2","1","0","0","3","40","0","1","1","0","0","","0","0","0","1","","0","1","","0","","","0","0","0","0","1","7","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20347","","","2","2","2","0","-1"
"20348","Brickout [Preview]","47","b3\BRICKOU-_20348_02.zip","","0","B\Brickout_[Preview].png","3716","200","883","8","30","","","0","4","","0","0","0","7223","2","1","0","0","1","119","0","1","1","0","0","","0","0","0","0","","0","2","","0","","95% version","0","0","1","0","1029","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20348","","","2","2","2","0","-1"
"20350","Vampyre Cross","47","v\VAMPYRE0_20350_03.zip","VAMPYRE0.D64","3","V\Vampyre_Cross.png","39","88","1889","8","7","","","0","4","","0","0","0","6449","2","1","0","0","1","2","0","1","1","0","0","","8350","0","0","2","","0","3","","1","","version 2.4 (2009-03-20)","1","0","1","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=20350","","","2","2","2","0","-1"
